provider_id,state,hospital_type,hospital_ownership,emergency_services,meets_criteria_for_meaningful_use_of_ehrs,hospital_overall_rating,mortality_national_comparison,safety_of_care_national_comparison,readmission_national_comparison,patient_experience_national_comparison,effectiveness_of_care_national_comparison,timeliness_of_care_national_comparison,efficient_use_of_medical_imaging_national_comparison
30012,AZ,Acute Care Hospitals,Government - Local,1,1,2,1.0,1.0,2.0,3.0,2.0,2.0,2.0
30013,AZ,Acute Care Hospitals,Voluntary non-profit - Private,1,1,2,2.0,3.0,1.0,1.0,2.0,1.0,1.0
30014,AZ,Acute Care Hospitals,Voluntary non-profit - Private,1,1,3,2.0,2.0,3.0,1.0,2.0,2.0,2.0
30016,AZ,Acute Care Hospitals,Voluntary non-profit - Other,1,1,2,2.0,1.0,2.0,1.0,2.0,2.0,1.0
30022,AZ,Acute Care Hospitals,Government - Local,1,1,2,,1.0,2.0,1.0,2.0,2.0,
30023,AZ,Acute Care Hospitals,Voluntary non-profit - Private,1,1,4,2.0,1.0,3.0,3.0,2.0,1.0,2.0
30024,AZ,Acute Care Hospitals,Voluntary non-profit - Church,1,1,3,3.0,1.0,3.0,2.0,2.0,1.0,2.0
30030,AZ,Acute Care Hospitals,Proprietary,1,1,2,2.0,3.0,1.0,1.0,1.0,2.0,
30033,AZ,Acute Care Hospitals,Voluntary non-profit - Other,1,1,3,2.0,2.0,2.0,1.0,2.0,2.0,2.0
30036,AZ,Acute Care Hospitals,Voluntary non-profit - Other,1,1,4,3.0,1.0,3.0,1.0,2.0,1.0,3.0
30037,AZ,Acute Care Hospitals,Proprietary,1,1,3,2.0,3.0,3.0,1.0,2.0,1.0,
30038,AZ,Acute Care Hospitals,Proprietary,1,1,3,2.0,1.0,2.0,1.0,2.0,3.0,3.0
30043,AZ,Acute Care Hospitals,Voluntary non-profit - Other,1,1,1,2.0,1.0,2.0,1.0,2.0,1.0,2.0
30055,AZ,Acute Care Hospitals,Government - Hospital District or Authority,1,1,2,3.0,2.0,1.0,2.0,2.0,2.0,1.0
30061,AZ,Acute Care Hospitals,Voluntary non-profit - Other,1,1,4,2.0,3.0,3.0,2.0,2.0,2.0,3.0
30062,AZ,Acute Care Hospitals,Voluntary non-profit - Private,1,1,4,2.0,1.0,3.0,2.0,1.0,2.0,1.0
30064,AZ,Acute Care Hospitals,Voluntary non-profit - Private,1,1,1,2.0,1.0,1.0,1.0,2.0,1.0,3.0
30065,AZ,Acute Care Hospitals,Voluntary non-profit - Private,1,1,3,2.0,3.0,1.0,1.0,2.0,2.0,2.0
30068,AZ,Acute Care Hospitals,Government - Hospital District or Authority,1,1,3,2.0,2.0,2.0,2.0,1.0,2.0,2.0
30069,AZ,Acute Care Hospitals,Proprietary,1,1,2,2.0,2.0,1.0,1.0,2.0,3.0,1.0
30071,AZ,Acute Care Hospitals,Government - Federal,1,1,,,,2.0,,2.0,,
30073,AZ,Acute Care Hospitals,Voluntary non-profit - Other,0,1,3,,2.0,2.0,1.0,2.0,,
30074,AZ,Acute Care Hospitals,Government - Federal,0,1,,,,,,,,
30077,AZ,Acute Care Hospitals,Government - Federal,0,1,,,,,,,,
30078,AZ,Acute Care Hospitals,Government - Federal,0,1,,,,,2.0,2.0,,
30083,AZ,Acute Care Hospitals,Proprietary,1,1,2,2.0,2.0,2.0,1.0,2.0,2.0,
30084,AZ,Acute Care Hospitals,Government - Federal,1,1,3,,,2.0,2.0,1.0,,
30085,AZ,Acute Care Hospitals,Proprietary,1,1,3,1.0,3.0,3.0,1.0,2.0,1.0,2.0
30087,AZ,Acute Care Hospitals,Proprietary,1,1,3,2.0,1.0,3.0,3.0,1.0,3.0,3.0
30088,AZ,Acute Care Hospitals,Voluntary non-profit - Private,0,1,4,3.0,3.0,3.0,1.0,2.0,2.0,3.0
30089,AZ,Acute Care Hospitals,Government - Hospital District or Authority,1,1,3,2.0,1.0,3.0,2.0,2.0,1.0,3.0
30092,AZ,Acute Care Hospitals,Voluntary non-profit - Private,1,1,3,2.0,3.0,2.0,1.0,2.0,2.0,2.0
30093,AZ,Acute Care Hospitals,Voluntary non-profit - Private,1,1,4,2.0,3.0,3.0,1.0,2.0,2.0,2.0
30094,AZ,Acute Care Hospitals,Proprietary,1,1,3,2.0,2.0,2.0,1.0,1.0,2.0,
30101,AZ,Acute Care Hospitals,Proprietary,1,1,2,2.0,3.0,1.0,1.0,2.0,1.0,1.0
30103,AZ,Acute Care Hospitals,Voluntary non-profit - Private,1,1,5,3.0,3.0,3.0,3.0,2.0,2.0,2.0
30105,AZ,Acute Care Hospitals,Voluntary non-profit - Private,0,1,5,3.0,3.0,3.0,3.0,,,
30123,AZ,Acute Care Hospitals,Proprietary,1,1,4,3.0,2.0,3.0,3.0,2.0,3.0,3.0
30107,AZ,Acute Care Hospitals,Proprietary,0,1,,,,,3.0,,,
30108,AZ,Acute Care Hospitals,Proprietary,0,1,,,,,3.0,,,
30110,AZ,Acute Care Hospitals,Proprietary,1,1,2,2.0,1.0,2.0,1.0,1.0,2.0,2.0
30111,AZ,Acute Care Hospitals,Voluntary non-profit - Private,1,1,2,2.0,1.0,2.0,1.0,2.0,1.0,2.0
30112,AZ,Acute Care Hospitals,Proprietary,0,1,,,,,3.0,,,
30113,AZ,Acute Care Hospitals,Government - Federal,0,1,,,,,,2.0,,
30114,AZ,Acute Care Hospitals,Proprietary,1,1,3,2.0,1.0,2.0,2.0,2.0,1.0,2.0
30115,AZ,Acute Care Hospitals,Voluntary non-profit - Private,1,1,4,2.0,2.0,3.0,2.0,2.0,1.0,3.0
30117,AZ,Acute Care Hospitals,Proprietary,1,1,3,2.0,2.0,2.0,2.0,2.0,2.0,1.0
30118,AZ,Acute Care Hospitals,Proprietary,1,1,3,2.0,2.0,3.0,2.0,1.0,2.0,1.0
30119,AZ,Acute Care Hospitals,Voluntary non-profit - Church,1,1,4,3.0,3.0,2.0,1.0,2.0,2.0,3.0
30120,AZ,Acute Care Hospitals,Proprietary,1,1,,,,,1.0,2.0,2.0,
30121,AZ,Acute Care Hospitals,Proprietary,1,1,1,2.0,1.0,2.0,1.0,2.0,1.0,2.0
30122,AZ,Acute Care Hospitals,Voluntary non-profit - Other,1,1,3,2.0,2.0,1.0,3.0,2.0,2.0,3.0
30130,AZ,Acute Care Hospitals,Voluntary non-profit - Private,1,1,4,2.0,2.0,2.0,3.0,2.0,2.0,
30131,AZ,Acute Care Hospitals,Voluntary non-profit - Private,0,1,,,3.0,,3.0,,,
30132,AZ,Acute Care Hospitals,Proprietary,1,1,3,,,2.0,2.0,2.0,3.0,
30134,AZ,Acute Care Hospitals,Voluntary non-profit - Other,1,1,3,,,2.0,3.0,2.0,3.0,
30136,AZ,Acute Care Hospitals,Proprietary,1,3,,,,,,2.0,2.0,
30137,AZ,Acute Care Hospitals,Proprietary,1,3,,,,,,2.0,2.0,
31300,AZ,Critical Access Hospitals,Voluntary non-profit - Private,1,1,3,,,2.0,2.0,,,2.0
31301,AZ,Critical Access Hospitals,Government - Hospital District or Authority,1,1,,,,2.0,,,,
31302,AZ,Critical Access Hospitals,Government - Hospital District or Authority,1,1,,,,2.0,,,,
31304,AZ,Critical Access Hospitals,Government - Hospital District or Authority,1,1,,,,,3.0,2.0,3.0,
31305,AZ,Critical Access Hospitals,Tribal,0,1,,,,,,,,
31307,AZ,Critical Access Hospitals,Government - Federal,1,1,,,,,,,,
31308,AZ,Critical Access Hospitals,Government - Hospital District or Authority,1,1,,,,,,,,
31309,AZ,Critical Access Hospitals,Voluntary non-profit - Private,0,3,,,,,,,2.0,
31311,AZ,Critical Access Hospitals,Voluntary non-profit - Private,1,1,,,,2.0,2.0,,,
31312,AZ,Critical Access Hospitals,Voluntary non-profit - Private,1,1,,,,2.0,,,,
31313,AZ,Critical Access Hospitals,Proprietary,1,1,,,,,1.0,2.0,2.0,
31314,AZ,Critical Access Hospitals,Voluntary non-profit - Private,1,1,3,3.0,,2.0,1.0,,2.0,2.0
31315,AZ,Critical Access Hospitals,Voluntary non-profit - Private,1,1,,,,,,,,2.0
40015,AR,Acute Care Hospitals,Government - Local,1,1,3,1.0,,2.0,2.0,2.0,3.0,2.0
31317,AZ,Critical Access Hospitals,Voluntary non-profit - Private,1,1,3,2.0,,2.0,2.0,,,
33301,AZ,Childrens,Voluntary non-profit - Private,0,1,,,,,,,,
33302,AZ,Childrens,Voluntary non-profit - Private,0,1,,,,,,,,
33303,AZ,Childrens,Proprietary,0,3,,,,,,,,
40001,AR,Acute Care Hospitals,Proprietary,1,1,3,2.0,,2.0,2.0,2.0,2.0,2.0
40002,AR,Acute Care Hospitals,Voluntary non-profit - Private,1,1,3,2.0,2.0,2.0,2.0,1.0,2.0,
40004,AR,Acute Care Hospitals,Voluntary non-profit - Private,1,1,3,1.0,3.0,3.0,2.0,2.0,2.0,2.0
40007,AR,Acute Care Hospitals,Voluntary non-profit - Private,1,1,2,1.0,1.0,1.0,1.0,2.0,2.0,2.0
40010,AR,Acute Care Hospitals,Voluntary non-profit - Church,1,1,4,2.0,3.0,3.0,2.0,3.0,2.0,2.0
40011,AR,Acute Care Hospitals,Voluntary non-profit - Private,1,1,3,2.0,,1.0,2.0,2.0,3.0,
40014,AR,Acute Care Hospitals,Voluntary non-profit - Private,1,1,3,1.0,3.0,2.0,3.0,2.0,3.0,1.0
40016,AR,Acute Care Hospitals,Government - State,1,1,1,2.0,1.0,1.0,1.0,1.0,1.0,3.0
40017,AR,Acute Care Hospitals,Voluntary non-profit - Other,1,1,3,2.0,3.0,3.0,2.0,2.0,2.0,1.0
40018,AR,Acute Care Hospitals,Proprietary,1,1,3,2.0,,2.0,2.0,2.0,3.0,
40019,AR,Acute Care Hospitals,Proprietary,1,1,2,2.0,,2.0,1.0,2.0,3.0,2.0
40020,AR,Acute Care Hospitals,Voluntary non-profit - Private,1,1,1,1.0,1.0,1.0,2.0,2.0,2.0,1.0
40022,AR,Acute Care Hospitals,Proprietary,1,1,3,1.0,3.0,1.0,1.0,2.0,3.0,2.0
40026,AR,Acute Care Hospitals,Voluntary non-profit - Church,1,1,2,1.0,2.0,1.0,1.0,2.0,2.0,2.0
40027,AR,Acute Care Hospitals,Voluntary non-profit - Private,1,1,3,1.0,3.0,3.0,2.0,2.0,3.0,2.0
40029,AR,Acute Care Hospitals,Voluntary non-profit - Private,1,1,3,1.0,3.0,3.0,2.0,2.0,3.0,2.0
40036,AR,Acute Care Hospitals,Voluntary non-profit - Private,1,1,3,1.0,3.0,1.0,3.0,2.0,2.0,3.0
40039,AR,Acute Care Hospitals,Voluntary non-profit - Private,1,1,2,1.0,2.0,1.0,2.0,2.0,2.0,1.0
40041,AR,Acute Care Hospitals,Proprietary,1,1,3,2.0,3.0,2.0,1.0,2.0,2.0,2.0
40047,AR,Acute Care Hospitals,Voluntary non-profit - Private,1,1,3,2.0,,2.0,,2.0,3.0,
40050,AR,Acute Care Hospitals,Voluntary non-profit - Private,1,1,4,2.0,2.0,3.0,3.0,2.0,2.0,2.0
40051,AR,Acute Care Hospitals,Voluntary non-profit - Private,1,1,3,2.0,2.0,2.0,2.0,1.0,2.0,1.0
40055,AR,Acute Care Hospitals,Proprietary,1,1,2,1.0,1.0,1.0,1.0,2.0,2.0,1.0
40062,AR,Acute Care Hospitals,Voluntary non-profit - Private,1,1,3,1.0,3.0,1.0,2.0,2.0,2.0,1.0
40067,AR,Acute Care Hospitals,Government - Local,1,1,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0
40069,AR,Acute Care Hospitals,Voluntary non-profit - Other,1,1,2,2.0,,1.0,1.0,2.0,3.0,2.0
40071,AR,Acute Care Hospitals,Voluntary non-profit - Private,1,1,2,1.0,3.0,1.0,1.0,2.0,2.0,1.0
40072,AR,Acute Care Hospitals,Voluntary non-profit - Private,1,1,4,2.0,,2.0,3.0,2.0,3.0,2.0
40074,AR,Acute Care Hospitals,Proprietary,1,3,2,2.0,2.0,2.0,1.0,2.0,2.0,2.0
40076,AR,Acute Care Hospitals,Voluntary non-profit - Private,1,1,3,2.0,,1.0,3.0,2.0,3.0,2.0
40078,AR,Acute Care Hospitals,Proprietary,1,1,2,1.0,2.0,1.0,2.0,2.0,2.0,2.0
40084,AR,Acute Care Hospitals,Voluntary non-profit - Private,1,1,3,2.0,3.0,1.0,1.0,2.0,3.0,2.0
40085,AR,Acute Care Hospitals,Proprietary,1,1,2,2.0,2.0,1.0,2.0,2.0,3.0,
40088,AR,Acute Care Hospitals,Proprietary,1,1,3,1.0,2.0,3.0,2.0,2.0,3.0,2.0
40114,AR,Acute Care Hospitals,Voluntary non-profit - Private,1,1,3,1.0,3.0,1.0,2.0,2.0,2.0,3.0
40118,AR,Acute Care Hospitals,Voluntary non-profit - Private,1,3,3,2.0,3.0,1.0,3.0,2.0,2.0,1.0
40119,AR,Acute Care Hospitals,Voluntary non-profit - Private,1,1,2,1.0,2.0,1.0,2.0,2.0,3.0,1.0
40132,AR,Acute Care Hospitals,Voluntary non-profit - Private,1,3,,,,,,,,
40134,AR,Acute Care Hospitals,Proprietary,1,1,4,2.0,3.0,1.0,3.0,2.0,3.0,2.0
40137,AR,Acute Care Hospitals,Voluntary non-profit - Private,1,1,2,2.0,,2.0,1.0,2.0,3.0,2.0
40147,AR,Acute Care Hospitals,Physician,1,1,5,,3.0,,3.0,2.0,,
40152,AR,Acute Care Hospitals,Proprietary,1,1,,,,,3.0,1.0,2.0,
40153,AR,Acute Care Hospitals,Proprietary,1,1,3,2.0,2.0,2.0,2.0,2.0,3.0,
41300,AR,Critical Access Hospitals,Voluntary non-profit - Private,1,1,,,,,,,,
41302,AR,Critical Access Hospitals,Proprietary,1,1,,,,2.0,,2.0,,
41303,AR,Critical Access Hospitals,Voluntary non-profit - Private,1,1,,2.0,,2.0,,,,
41304,AR,Critical Access Hospitals,Proprietary,1,1,,,,,,,,
41305,AR,Critical Access Hospitals,Voluntary non-profit - Private,1,1,,,,2.0,,,,
41306,AR,Critical Access Hospitals,Voluntary non-profit - Private,1,1,,2.0,,1.0,,,,
41307,AR,Critical Access Hospitals,Voluntary non-profit - Church,1,1,4,2.0,,2.0,3.0,2.0,2.0,2.0
41308,AR,Critical Access Hospitals,Voluntary non-profit - Private,1,1,3,,,2.0,,2.0,2.0,
41309,AR,Critical Access Hospitals,Government - Local,1,1,,2.0,,2.0,,,,
41310,AR,Critical Access Hospitals,Voluntary non-profit - Private,1,1,3,2.0,,2.0,,2.0,3.0,
41311,AR,Critical Access Hospitals,Voluntary non-profit - Private,1,1,3,2.0,,2.0,,2.0,3.0,2.0
41312,AR,Critical Access Hospitals,Voluntary non-profit - Private,1,1,3,2.0,,2.0,3.0,2.0,3.0,2.0
41313,AR,Critical Access Hospitals,Voluntary non-profit - Private,1,1,3,2.0,,2.0,,1.0,3.0,2.0
41314,AR,Critical Access Hospitals,Voluntary non-profit - Private,1,1,,2.0,,2.0,,,,
41316,AR,Critical Access Hospitals,Government - Local,1,1,,2.0,,2.0,,,,
41317,AR,Critical Access Hospitals,Government - Local,1,1,,2.0,,2.0,,,,
41318,AR,Critical Access Hospitals,Voluntary non-profit - Private,1,1,,,,,,,,
41319,AR,Critical Access Hospitals,Proprietary,1,3,,2.0,,2.0,,,,
